Year,25%_Emissions_GtC,25%_CO2_ppm,25%_Temp_C,25%_Forcing_Wm2,50%_Emissions_GtC,50%_CO2_ppm,50%_Temp_C,50%_Forcing_Wm2,75%_Emissions_GtC,75%_CO2_ppm,75%_Temp_C,75%_Forcing_Wm2,100%_Emissions_GtC,100%_CO2_ppm,100%_Temp_C,100%_Forcing_Wm2
2075,2.675,337.731446680572,1.1983987890469985,1.0029187042909335,5.35,341.748388554921,1.2078553947900714,1.0661755907478876,8.024999999999999,345.76533042926997,1.2172342173220705,1.1286932772551552,10.7,349.78227230361927,1.2265366737379566,1.1904888405645042
2076,2.675,336.7308977469606,1.1944178727437265,0.9870454957544091,5.35,340.8215807838226,1.2043037075841154,1.051646898173185,8.024999999999999,344.9122638206846,1.214106287591434,1.1154775345853727,10.7,349.0029468575469,1.2238271630589084,1.1785555805275443
2077,2.675,335.75035979202136,1.1903502663855838,0.9714439255463384,5.35,339.91330916814616,1.2006717818400685,1.0373703975879425,8.024999999999999,344.0762585442709,1.2109043681446825,1.1024943562634224,10.7,348.2392079203959,1.221049716600692,1.1668351045926357
2078,2.675,334.7894325961809,1.1861990079228715,0.956110118141027,5.35,339.0232029847832,1.1969624345713727,1.0233423677969358,8.024999999999999,343.2569733733855,1.2076310558141703,1.0897401999486063,10.7,347.490743761988,1.218206711916945,1.155324072812068
2079,2.675,333.8477239442573,1.1819670737373147,0.9410402268862044,5.35,338.1508989250876,1.1931784247103132,1.009559119774028,8.024999999999999,342.4540739059178,1.204288893023165,1.0772115579468247,10.7,346.75724888674824,1.215300475999304,1.144019181521848
2080,2.675,332.9248494653722,1.1776573794977263,0.9262304347267787,5.35,337.29604094658583,1.189322453953999,0.9960169971972979,8.024999999999999,341.6672324277995,1.2008803686137477,1.0649049575671106,10.7,346.03842390901326,1.2123332860787692,1.1329171635331845
2081,2.675,332.02043247606474,1.1732727810126697,0.911676954890209,5.35,336.4582801276541,1.1853971676059398,0.9827123769493084,8.024999999999999,340.8961277792435,1.1974079186690758,1.052816961447417,10.7,345.333975430833,1.209307370420396,1.1220147882977842
2082,2.675,331.1341038265434,1.168816075079847,0.8973760315341603,5.35,335.637274525101,1.1814051554129879,0.969641669583252,8.024999999999999,340.1404452236586,1.1938739273298211,1.0409441678504547,10.7,344.6436159222163,1.2062249091111739,1.1113088620477405
2083,2.675,330.26550175001256,1.164290000331944,0.8833239403570994,5.35,334.832689034599,1.177348952397418,0.9568013197557375,8.024999999999999,339.39987631918547,1.190280727604607,1.029283210930379,10.7,343.967063603772,1.2030880348409607,1.1007962279108356
2084,2.675,329.4142717150123,1.159697238078672,0.8695169891725104,5.35,334.04419525390705,1.173231039683933,0.9441878066269727,8.024999999999999,338.6741187928018,1.1866306021742725,1.0178307609711041,10.7,343.30404233169656,1.1998988336763512,1.0904737660020178
2085,2.675,328.58006628071206,1.1550404131447567,0.855951518447472,5.35,333.2714713488289,1.169053845321384,0.931797644229124,8.024999999999999,337.96287641694573,1.1829257841898033,1.0065835245970736,10.7,342.65428148506265,1.1966593458273593,1.0803383934918487
2086,2.675,327.76254495509784,1.1503220947036303,0.8426239018062854,5.35,332.51420192185236,1.1648197450990103,0.9196273818036437,8.024999999999999,337.26585888860683,1.179168458063775,0.9955382449572598,10.7,342.0175158553614,1.1933715664068103,1.0703870646526874
2087,2.675,326.96137405599586,1.1455447971065933,0.8295305464999149,5.35,331.7720778834153,1.1605310633570067,0.9076736041083386,8.024999999999999,336.5827817108347,1.175360760255163,0.9846917018831961,10.7,341.3934855382542,1.1900374461823373,1.0606167708833951
2088,2.675,326.17622657487595,1.1407109807072193,0.816667893841997,5.35,331.044796325747,1.1561900737912338,0.8959329316949843,8.024999999999999,335.913366076618,1.1715047800473832,0.9740407120218498,10.7,340.7819358274891,1.186658892320892,1.0510245407133
2089,2.675,325.4067820433784,1.1358230526807862,0.8040324196121594,5.35,330.33206039923203,1.151799000251902,0.8844020211582773,8.024999999999999,335.25733875508564,1.167602560319429,0.9635821289441006,10.7,340.18261711093936,1.1832377691256792,1.041607439786193
